ID_Produksi,Tanggal,Shift,ID_Mesin,ID_Operator,ID_Material,Qty_Produksi,Qty_OK,Qty_NG,Setting_Speed_RPM,Suhu_Mesin_Celsius,Durasi_Jam
TRX-PRD-000025,2026-04-06,Shift B,MC-011,OP-009,MAT-010,1744,1397,347,1000,75.9,4.47
TRX-PRD-000026,2026-05-20,Shift B,MC-013,OP-028,MAT-008,1717,1424,293,1700,72.0,6.48
TRX-PRD-000027,2026-06-14,Shift C,MC-002,OP-059,MAT-011,832,817,15,1200,89.8,6.21
TRX-PRD-000028,2026-04-17,Shift A,MC-008,OP-056,MAT-005,1658,1620,38,1800,69.8,4.93
TRX-PRD-000029,2026-04-30,Shift C,MC-011,OP-027,MAT-004,1110,1082,28,1500,84.2,4.29
TRX-PRD-000030,2026-04-18,Shift C,MC-010,OP-038,MAT-012,1745,1676,69,1700,78.3,6.0
TRX-PRD-000031,2026-05-30,Shift B,MC-010,OP-037,MAT-010,1525,1438,87,800,68.0,7.85
TRX-PRD-000032,2026-06-09,Shift B,MC-001,OP-034,MAT-013,1217,1031,186,1800,71.7,5.77
TRX-PRD-000033,2026-05-02,Shift A,MC-010,OP-059,MAT-002,2425,2372,53,1600,75.1,5.28
TRX-PRD-000034,2026-04-10,Shift C,MC-006,OP-042,MAT-007,2753,2721,32,800,72.7,5.26
TRX-PRD-000035,2026-05-08,Shift A,MC-013,OP-043,MAT-001,2722,2698,24,1800,73.4,4.75
TRX-PRD-000036,2026-05-13,Shift B,MC-008,OP-055,MAT-009,1036,813,223,1500,79.0,6.79
TRX-PRD-000037,2026-04-12,Shift A,MC-011,,MAT-001,2762,2722,40,1700,55.8,7.97
TRX-PRD-000038,2026-04-11,Shift B,MC-002,OP-042,MAT-005,2584,2499,85,1500,74.7,5.93
TRX-PRD-000039,2026-05-27,Shift A,MC-009,OP-018,MAT-010,2581,2483,98,1200,73.1,5.1
TRX-PRD-000040,2026-05-20,Shift B,MC-013,OP-024,MAT-005,1722,1664,58,1800,78.0,5.79
TRX-PRD-000041,2026-05-28,Shift B,MC-009,OP-058,MAT-006,1272,947,325,1300,86.4,4.93
TRX-PRD-000042,2026-05-19,Shift A,MC-012,OP-033,MAT-011,1123,1110,13,1800,82.5,4.5
TRX-PRD-000043,2026-06-11,Shift B,MC-002,OP-055,MAT-008,562,458,104,1200,80.9,6.62
TRX-PRD-000044,2026-04-16,Shift A,MC-013,OP-030,MAT-007,828,820,8,1600,96.9,7.44
TRX-PRD-000045,2026-05-15,Shift C,MC-011,OP-056,MAT-002,1461,1422,39,1500,76.0,6.99
TRX-PRD-000046,2026-05-22,Shift C,MC-013,OP-016,MAT-005,618,597,21,800,70.0,4.22
TRX-PRD-000047,2026-05-12,Shift B,MC-003,OP-028,MAT-011,1237,1008,229,1200,64.4,6.44
TRX-PRD-000048,2026-05-15,Shift B,MC-004,OP-056,MAT-008,1540,1198,342,1800,79.7,4.04
TRX-PRD-000049,2026-05-26,Shift C,MC-011,OP-058,MAT-006,2906,2782,124,1500,67.2,5.7
TRX-PRD-000050,2026-04-29,Shift B,MC-005,OP-033,MAT-002,1471,1377,94,1700,71.8,6.3
TRX-PRD-000051,2026-06-25,Shift A,MC-014,OP-050,MAT-014,700,680,20,1800,77.3,7.61
TRX-PRD-000052,2026-04-26,Shift B,MC-006,,MAT-005,1060,860,200,1000,88.1,6.59
TRX-PRD-000053,2026-05-06,Shift C,MC-001,OP-048,MAT-005,1838,1792,46,1700,77.6,4.53
TRX-PRD-000054,2026-06-05,Shift C,MC-006,OP-043,MAT-014,1173,1160,13,1500,82.8,7.78
TRX-PRD-000055,2026-05-04,Shift C,MC-006,OP-040,MAT-003,1424,1397,27,1700,77.5,7.22
TRX-PRD-000056,2026-05-13,Shift A,MC-007,OP-023,MAT-008,2009,1979,30,1500,78.5,7.29
TRX-PRD-000057,2026-05-14,Shift A,MC-004,OP-002,MAT-009,1843,1823,20,1300,77.9,6.54
TRX-PRD-000058,2026-05-26,Shift C,MC-005,OP-053,MAT-001,1746,1715,31,1800,67.9,4.94
TRX-PRD-000059,2026-06-04,Shift A,MC-008,OP-045,MAT-012,1132,1114,18,1700,63.1,7.33
TRX-PRD-000060,2026-06-14,Shift B,MC-005,OP-009,MAT-008,1467,1151,316,1600,81.6,6.74
TRX-PRD-000061,2026-06-05,Shift C,MC-011,OP-005,MAT-004,1000,988,12,1800,84.6,4.85
TRX-PRD-000062,2026-06-17,Shift B,MC-001,OP-009,MAT-003,2812,2166,646,1300,79.1,7.06
TRX-PRD-000063,2026-04-23,Shift B,MC-014,OP-030,MAT-013,2941,2849,92,800,66.1,7.94
TRX-PRD-000064,2026-04-13,Shift B,MC-013,OP-022,MAT-001,1039,762,277,800,66.8,7.15
TRX-PRD-000065,2026-06-11,Shift A,MC-003,OP-034,MAT-007,2654,2526,128,1000,75.1,5.9
TRX-PRD-000066,2026-05-13,Shift B,MC-002,OP-055,MAT-010,677,534,143,1500,89.5,7.86
TRX-PRD-000067,2026-04-04,Shift C,MC-014,OP-037,MAT-008,2316,2292,24,1000,64.3,5.29
TRX-PRD-000068,2026-04-15,Shift A,MC-005,,MAT-010,2673,2608,65,1500,79.8,6.42
TRX-PRD-000069,2026-04-09,Shift C,MC-002,OP-019,MAT-004,2194,2153,41,1600,79.7,5.59
TRX-PRD-000070,2026-04-09,Shift A,MC-006,OP-032,MAT-011,2442,2383,59,1000,74.3,4.34
TRX-PRD-000071,2026-05-22,Shift A,MC-012,OP-012,MAT-010,2800,2768,32,1600,70.5,5.64
TRX-PRD-000072,2026-06-21,Shift C,MC-007,OP-025,MAT-006,924,916,8,1300,83.6,5.93
TRX-PRD-000073,2026-04-10,Shift B,MC-009,OP-010,MAT-010,1426,1339,87,1700,66.2,7.9
TRX-PRD-000074,2026-06-15,Shift B,MC-011,OP-058,MAT-011,1595,1196,399,800,76.5,6.81
TRX-PRD-000075,2026-05-06,Shift C,MC-006,OP-015,MAT-010,2141,2122,19,1000,78.6,6.53
TRX-PRD-000076,2026-03-31,Shift A,MC-009,OP-033,MAT-006,1144,1123,21,1600,80.6,5.3
TRX-PRD-000077,2026-06-08,Shift B,MC-001,OP-014,MAT-001,834,803,31,1500,80.2,5.7
TRX-PRD-000078,2026-06-13,Shift B,MC-005,OP-027,MAT-007,954,677,277,1500,80.1,6.37
TRX-PRD-000079,2026-06-03,Shift B,MC-001,OP-035,MAT-001,531,507,24,1300,80.7,4.84
TRX-PRD-000080,2026-04-14,Shift C,MC-005,,MAT-012,2263,2162,101,1200,86.4,6.13
TRX-PRD-000081,2026-04-26,Shift B,MC-014,OP-048,MAT-012,673,505,168,1700,-36.4,7.68
TRX-PRD-000082,2026-05-07,Shift B,MC-010,OP-050,MAT-002,2159,1765,394,800,98.1,4.69
TRX-PRD-000083,2026-06-15,Shift B,MC-012,OP-048,MAT-002,1496,1242,254,1700,56.3,6.1
TRX-PRD-000084,2026-05-17,Shift C,MC-012,OP-020,MAT-003,812,807,5,1000,70.3,4.78
TRX-PRD-000085,2026-05-11,Shift B,MC-014,OP-018,MAT-005,1308,1124,184,1200,85.9,7.04
TRX-PRD-000086,2026-06-19,Shift A,MC-013,OP-040,MAT-013,2873,2823,50,1800,67.7,7.53
TRX-PRD-000087,2026-06-18,Shift B,MC-010,OP-046,MAT-008,779,679,100,1800,77.2,5.21
TRX-PRD-000088,2026-05-02,Shift B,MC-006,OP-057,MAT-008,654,514,140,800,54.7,5.15
TRX-PRD-000089,2026-06-18,Shift C,MC-014,OP-054,MAT-007,2395,2355,40,800,76.9,7.24
TRX-PRD-000090,2026-06-19,Shift A,MC-010,OP-056,MAT-001,2345,2278,67,1000,80.0,7.35
TRX-PRD-000091,2026-04-07,Shift B,MC-003,,MAT-008,2646,2546,100,1200,83.7,7.67
TRX-PRD-000092,2026-05-16,Shift B,MC-006,OP-009,MAT-002,1850,1602,248,1000,92.7,5.55
TRX-PRD-000093,2026-04-29,Shift C,MC-011,OP-018,MAT-011,1079,1039,40,1600,79.0,6.62
TRX-PRD-000094,2026-06-20,Shift B,MC-010,OP-011,MAT-011,1845,1306,539,1200,96.2,7.32
TRX-PRD-000095,2026-06-23,Shift C,MC-002,OP-043,MAT-006,1765,1744,21,1200,85.3,5.37
TRX-PRD-000096,2026-05-29,Shift A,MC-003,OP-006,MAT-013,914,902,12,800,79.4,7.51
TRX-PRD-000097,2026-06-15,Shift A,MC-007,OP-018,MAT-012,1178,1143,35,1800,82.7,5.46
TRX-PRD-000098,2026-04-27,Shift C,MC-010,OP-039,MAT-004,1767,1743,24,1800,72.5,4.78
TRX-PRD-000099,2026-06-22,Shift C,MC-008,OP-025,MAT-009,2660,2626,34,1700,62.5,7.27
TRX-PRD-000100,2026-06-13,Shift A,MC-005,OP-060,MAT-006,2771,2731,40,1000,89.4,6.06
TRX-PRD-000101,2026-04-12,Shift A,MC-013,OP-024,MAT-009,1103,1085,18,1700,60.6,7.64
TRX-PRD-000102,2026-05-24,Shift C,MC-001,OP-005,MAT-006,1465,1444,21,1700,77.0,5.5
TRX-PRD-000103,2026-03-31,Shift A,MC-002,OP-046,MAT-005,2435,2384,51,1200,69.0,5.88
TRX-PRD-000104,2026-06-14,Shift A,MC-002,OP-023,MAT-003,2747,2687,60,1700,90.9,5.15
TRX-PRD-000105,2026-05-05,Shift A,MC-004,OP-059,MAT-008,757,746,11,1000,62.6,6.0
TRX-PRD-000106,2026-06-04,Shift A,MC-009,OP-013,MAT-001,1945,1905,40,1300,77.8,4.75
TRX-PRD-000107,2026-06-21,Shift A,MC-006,OP-044,MAT-013,2579,2559,20,800,68.8,5.88
TRX-PRD-000108,2026-06-17,Shift B,MC-006,OP-034,MAT-002,1912,1494,418,1300,69.1,6.51
TRX-PRD-000109,2026-06-10,Shift C,MC-006,OP-003,MAT-006,1217,1206,11,1800,83.5,5.91
TRX-PRD-000110,2026-04-20,Shift C,MC-002,OP-003,MAT-001,1317,1294,23,800,83.1,5.24
TRX-PRD-000111,2026-05-17,Shift C,MC-009,OP-056,MAT-011,1282,1250,32,1500,81.3,7.12
TRX-PRD-000112,2026-06-19,Shift B,MC-002,OP-037,MAT-012,2301,2170,131,1700,74.8,4.75
TRX-PRD-000113,2026-06-24,Shift B,MC-013,OP-024,MAT-012,2238,2139,99,1000,76.2,7.98
TRX-PRD-000114,2026-04-20,Shift B,MC-006,OP-016,MAT-005,1755,1410,345,1800,72.8,5.7
TRX-PRD-000115,2026-06-24,Shift B,MC-008,OP-009,MAT-007,1624,1205,419,800,86.0,6.55
TRX-PRD-000116,2026-05-13,Shift B,MC-012,OP-022,MAT-010,2294,1944,350,800,88.1,4.94
TRX-PRD-000117,2026-06-18,Shift B,MC-007,OP-009,MAT-008,2019,1633,386,1600,75.2,4.31
TRX-PRD-000118,2026-04-14,Shift B,MC-007,OP-046,MAT-002,606,512,94,1200,78.2,5.55
TRX-PRD-000119,2026-06-07,Shift A,MC-013,OP-039,MAT-010,1669,1632,37,1800,73.7,4.54
TRX-PRD-000120,2026-04-06,Shift B,MC-012,OP-007,MAT-014,1809,1722,87,1600,64.9,6.2
TRX-PRD-000121,2026-05-04,Shift C,MC-014,OP-022,MAT-006,2583,2472,111,1300,62.9,4.8
TRX-PRD-000122,2026-04-14,Shift A,MC-008,OP-032,MAT-006,2414,2364,50,1200,74.9,4.34
TRX-PRD-000123,2026-05-06,Shift B,MC-012,OP-056,MAT-007,2854,2480,374,1000,66.0,5.27
TRX-PRD-000124,2026-04-06,Shift B,MC-011,OP-057,MAT-014,2758,2172,586,1200,66.7,4.52
TRX-PRD-000125,2026-05-31,Shift C,MC-001,OP-016,MAT-003,1163,1133,30,1600,71.8,4.9
TRX-PRD-000126,2026-06-02,Shift C,MC-014,OP-011,MAT-009,1624,1569,55,1200,77.4,6.46
TRX-PRD-000127,2026-04-08,Shift B,MC-003,OP-018,MAT-012,2978,2549,429,1600,69.9,6.25
TRX-PRD-000128,2026-03-31,Shift A,MC-011,OP-060,MAT-010,2206,2172,34,800,60.5,6.51
TRX-PRD-000129,2026-05-04,Shift B,MC-005,OP-021,MAT-011,2163,2030,133,1500,60.9,6.75
TRX-PRD-000130,2026-04-17,Shift B,MC-008,OP-055,MAT-003,1780,1249,531,1600,67.8,7.44
TRX-PRD-000131,2026-05-18,Shift A,MC-006,OP-057,MAT-004,2410,2304,106,1000,72.9,4.99
TRX-PRD-000132,2026-04-09,Shift A,MC-007,OP-021,MAT-003,1841,1813,28,1600,74.8,4.64
TRX-PRD-000133,2026-06-01,Shift B,MC-005,OP-056,MAT-007,2570,2260,310,1800,65.0,4.86
TRX-PRD-000134,2026-05-12,Shift A,MC-005,OP-052,MAT-011,2427,2410,17,1500,78.2,7.39
TRX-PRD-000135,2026-05-22,Shift A,MC-005,OP-035,MAT-007,709,696,13,1300,66.7,5.15
TRX-PRD-000136,2026-05-16,Shift B,MC-013,OP-024,MAT-010,986,931,55,1200,81.9,5.58
TRX-PRD-000137,2026-05-10,Shift B,MC-006,OP-018,MAT-007,2548,2096,452,800,71.0,4.55
TRX-PRD-000138,2026-05-09,Shift C,MC-009,OP-013,MAT-009,1072,1064,8,1600,77.2,5.27
TRX-PRD-000139,2026-05-17,Shift C,MC-012,OP-051,MAT-014,2587,2566,21,1800,75.1,5.2
TRX-PRD-000140,2026-03-30,Shift B,MC-011,OP-016,MAT-013,609,441,168,1800,89.5,6.62
TRX-PRD-000141,2026-06-10,Shift B,MC-012,OP-009,MAT-009,2057,1646,411,1200,84.6,4.97
TRX-PRD-000142,2026-06-09,Shift C,MC-002,OP-002,MAT-007,1120,1101,19,1700,96.9,5.64
TRX-PRD-000143,2026-06-14,Shift C,MC-014,OP-012,MAT-009,1831,1813,18,1800,66.9,5.26
TRX-PRD-000144,2026-04-19,Shift B,MC-009,OP-046,MAT-013,1582,1289,293,1800,67.4,4.99
TRX-PRD-000145,2026-06-07,Shift A,MC-005,OP-019,MAT-008,1798,1753,45,1800,76.5,7.73
TRX-PRD-000146,2026-05-02,Shift A,MC-010,OP-033,MAT-007,1913,1879,34,1200,84.5,5.15
TRX-PRD-000147,2026-04-07,Shift B,MC-008,OP-034,MAT-014,2706,2148,558,1500,69.2,6.78
TRX-PRD-000148,2026-04-14,Shift A,MC-012,OP-028,MAT-009,1424,1351,73,1300,61.8,5.65
TRX-PRD-000149,2026-05-27,Shift A,MC-013,OP-001,MAT-003,2166,2115,51,1800,93.3,4.8
TRX-PRD-000150,2026-05-03,Shift A,MC-011,OP-007,MAT-004,2691,2673,18,800,86.8,4.7
TRX-PRD-000151,2026-04-19,Shift C,MC-001,OP-050,MAT-012,1685,1611,74,800,-14.3,6.27
TRX-PRD-000152,2026-04-10,Shift C,MC-006,OP-040,MAT-009,2647,2587,60,1800,88.5,4.54
TRX-PRD-000153,2026-05-31,Shift B,MC-004,OP-016,MAT-008,1553,1163,390,1200,-31.0,5.35
TRX-PRD-000154,2026-05-04,Shift B,MC-013,OP-027,MAT-011,2160,1851,309,1700,75.1,4.35
TRX-PRD-000155,2026-06-21,Shift A,MC-003,OP-029,MAT-001,1568,1535,33,1700,75.5,7.02
TRX-PRD-000156,2026-05-09,Shift A,MC-012,OP-023,MAT-012,1467,1440,27,800,64.3,5.86
TRX-PRD-000157,2026-04-17,Shift B,MC-009,OP-038,MAT-005,2005,1441,564,1300,73.6,4.53
TRX-PRD-000158,2026-04-16,Shift B,MC-010,OP-036,MAT-008,2701,2597,104,1300,59.7,6.72
TRX-PRD-000159,2026-06-12,Shift C,MC-002,OP-039,MAT-006,819,812,7,1000,87.8,6.19
TRX-PRD-000160,2026-05-31,Shift A,MC-009,OP-014,MAT-009,2309,2271,38,1000,86.8,6.87
TRX-PRD-000161,2026-05-29,Shift A,MC-009,OP-005,MAT-009,2201,2166,35,1800,75.7,6.24
TRX-PRD-000162,2026-06-22,Shift C,MC-012,OP-035,MAT-001,1392,1366,26,1000,81.5,5.38
TRX-PRD-000163,2026-04-05,Shift B,MC-001,OP-011,MAT-007,1237,974,263,1200,88.7,7.91
TRX-PRD-000164,2026-06-18,Shift C,MC-006,OP-039,MAT-007,2038,2023,15,1000,85.6,6.65
TRX-PRD-000165,2026-06-05,Shift A,MC-014,OP-048,MAT-009,2109,2044,65,1200,57.4,4.89
TRX-PRD-000166,2026-03-28,Shift C,MC-005,OP-045,MAT-007,1440,1413,27,1300,90.0,4.62
TRX-PRD-000167,2026-04-21,Shift C,MC-012,OP-003,MAT-007,564,557,7,1300,75.7,4.4
TRX-PRD-000168,2026-04-01,Shift B,MC-011,OP-021,MAT-007,2297,2152,145,1300,58.0,7.02
TRX-PRD-000169,2026-04-04,Shift A,MC-005,OP-049,MAT-010,1813,1784,29,1300,74.4,4.57
TRX-PRD-000170,2026-06-20,Shift B,MC-007,OP-038,MAT-010,1217,988,229,1700,62.0,4.19
TRX-PRD-000171,2026-05-11,Shift C,MC-011,OP-044,MAT-007,2172,2157,15,1200,81.7,4.74
TRX-PRD-000172,2026-06-04,Shift B,MC-014,,MAT-003,2396,2324,72,800,78.7,7.87
TRX-PRD-000173,2026-06-07,Shift B,MC-007,OP-028,MAT-011,823,706,117,1800,65.6,4.37
TRX-PRD-000174,2026-04-21,Shift A,MC-007,OP-009,MAT-013,2906,2771,135,1300,65.1,7.48
TRX-PRD-000175,2026-05-09,Shift A,MC-001,OP-017,MAT-002,2461,2439,22,1300,80.0,6.82
TRX-PRD-000176,2026-05-17,Shift C,MC-009,OP-025,MAT-009,1971,1954,17,1500,73.9,6.05
TRX-PRD-000177,2026-05-30,Shift B,MC-013,OP-029,MAT-006,1781,1720,61,1700,64.6,7.46
TRX-PRD-000178,2026-04-15,Shift A,MC-009,OP-053,MAT-006,1442,1389,53,1700,68.0,4.98
TRX-PRD-000179,2026-06-06,Shift B,MC-011,OP-023,MAT-008,2509,2351,158,1800,77.1,7.18
TRX-PRD-000180,2026-04-18,Shift A,MC-009,OP-015,MAT-009,740,735,5,800,81.1,4.3
TRX-PRD-000181,2026-06-21,Shift A,MC-001,OP-012,MAT-004,778,771,7,1200,-35.9,6.02
TRX-PRD-000182,2026-05-14,Shift A,MC-011,OP-056,MAT-009,2759,2657,102,1700,-64.7,6.12
TRX-PRD-000183,2026-05-02,Shift B,MC-005,OP-043,MAT-011,2263,2198,65,1200,72.5,4.39
TRX-PRD-000184,2026-04-16,Shift A,MC-010,OP-023,MAT-005,2125,2082,43,1000,105.8,5.62
TRX-PRD-000185,2026-06-08,Shift A,MC-012,OP-026,MAT-014,830,823,7,800,86.2,5.52
TRX-PRD-000186,2026-06-06,Shift B,MC-011,OP-004,MAT-014,2277,1846,431,1600,67.4,7.43
TRX-PRD-000187,2026-04-09,Shift C,MC-001,OP-019,MAT-012,2821,2802,19,1800,60.8,7.7
TRX-PRD-000188,2026-06-23,Shift C,MC-009,OP-015,MAT-006,564,559,5,1300,91.9,7.01
TRX-PRD-000189,2026-05-17,Shift C,MC-005,OP-049,MAT-014,2093,2056,37,1600,83.8,6.96
TRX-PRD-000190,2026-06-24,Shift C,MC-009,OP-048,MAT-004,811,793,18,1600,90.2,6.46
TRX-PRD-000191,2026-06-12,Shift B,MC-013,OP-046,MAT-013,2345,1952,393,1800,80.4,6.21
TRX-PRD-000192,2026-05-15,Shift B,MC-011,OP-007,MAT-005,1509,1454,55,1000,84.3,4.62
TRX-PRD-000193,2026-06-17,Shift A,MC-007,OP-046,MAT-001,1762,1701,61,1800,94.1,5.08
TRX-PRD-000194,2026-04-13,Shift A,MC-007,OP-047,MAT-007,923,909,14,800,68.5,6.22
TRX-PRD-000195,2026-06-12,Shift B,MC-006,OP-050,MAT-007,846,728,118,1300,70.1,4.68
TRX-PRD-000196,2026-05-15,Shift A,MC-005,OP-024,MAT-002,1184,1171,13,1700,75.5,5.2
TRX-PRD-000197,2026-04-06,Shift B,MC-004,OP-056,MAT-008,938,739,199,1200,66.7,7.8
TRX-PRD-000198,2026-05-09,Shift C,MC-007,OP-039,MAT-014,2934,2910,24,1200,69.2,6.41
TRX-PRD-000199,2026-06-24,Shift A,MC-006,OP-035,MAT-005,2511,2485,26,1300,82.6,5.12
TRX-PRD-000200,2026-05-17,Shift B,MC-010,OP-051,MAT-003,2753,2591,162,800,58.3,5.85
TRX-PRD-000201,2026-06-26,Shift A,MC-013,OP-006,MAT-013,2175,2138,37,1800,80.4,5.21
TRX-PRD-000202,2026-04-29,Shift B,MC-012,OP-053,MAT-010,2462,2049,413,1700,58.7,7.69
TRX-PRD-000203,2026-06-24,Shift B,MC-001,OP-048,MAT-002,947,812,135,1300,75.5,5.42
TRX-PRD-000204,2026-06-18,Shift B,MC-010,OP-030,MAT-007,933,897,36,800,74.3,4.89
TRX-PRD-000205,2026-06-02,Shift B,MC-012,OP-028,MAT-008,2910,2394,516,1200,62.9,4.1
TRX-PRD-000206,2026-04-10,Shift A,MC-002,OP-013,MAT-006,2365,2339,26,1300,85.1,5.39
TRX-PRD-000207,2026-04-09,Shift B,MC-012,OP-055,MAT-001,971,807,164,800,69.2,6.59
TRX-PRD-000208,2026-06-22,Shift C,MC-012,OP-028,MAT-003,1855,1774,81,1700,50.3,4.93
TRX-PRD-000209,2026-05-18,Shift B,MC-003,OP-053,MAT-010,1308,1049,259,1800,67.0,5.56
TRX-PRD-000210,2026-06-26,Shift A,MC-005,OP-011,MAT-014,2699,2561,138,1200,78.7,4.79
TRX-PRD-000211,2026-04-11,Shift A,MC-014,OP-044,MAT-006,2945,2888,57,1700,69.0,6.35
TRX-PRD-000212,2026-05-11,Shift B,MC-008,OP-026,MAT-010,847,818,29,1200,86.7,4.95
TRX-PRD-000213,2026-04-11,Shift A,MC-012,,MAT-010,1064,1053,11,1700,77.5,5.95
TRX-PRD-000214,2026-06-04,Shift C,MC-011,OP-022,MAT-005,1074,1049,25,1200,78.9,5.8
TRX-PRD-000215,2026-04-03,Shift C,MC-001,OP-056,MAT-007,2800,2688,112,1800,70.8,5.97
TRX-PRD-000216,2026-06-26,Shift C,MC-008,OP-007,MAT-013,1403,1385,18,1500,-33.9,4.9
TRX-PRD-000217,2026-05-03,Shift A,MC-008,OP-047,MAT-010,967,954,13,1500,56.3,7.29
TRX-PRD-000218,2026-05-13,Shift B,MC-013,,MAT-007,919,699,220,1300,71.5,8.0
TRX-PRD-000219,2026-05-24,Shift A,MC-014,OP-039,MAT-002,1470,1452,18,1300,83.3,6.35
TRX-PRD-000220,2026-05-11,Shift C,MC-010,OP-014,MAT-013,1346,1319,27,1300,52.9,6.28
TRX-PRD-000221,2026-06-04,Shift A,MC-009,OP-029,MAT-005,1685,1668,17,1500,60.2,6.06
TRX-PRD-000222,2026-06-22,Shift C,MC-003,OP-005,MAT-014,1019,1010,9,1200,86.4,6.85
TRX-PRD-000223,2026-04-28,Shift C,MC-011,OP-050,MAT-011,1600,1538,62,1700,76.8,4.3
TRX-PRD-000224,2026-04-08,Shift B,MC-012,OP-034,MAT-008,1840,1590,250,800,77.5,7.39
TRX-PRD-000225,2026-04-08,Shift C,MC-008,OP-006,MAT-007,1392,1377,15,1700,75.7,5.98
TRX-PRD-000226,2026-05-08,Shift C,MC-006,OP-058,MAT-014,2487,2369,118,1600,70.2,7.05
TRX-PRD-000227,2026-04-02,Shift A,MC-013,OP-055,MAT-014,1147,1109,38,1800,72.3,7.97
TRX-PRD-000228,2026-05-21,Shift A,MC-012,OP-060,MAT-014,1622,1594,28,1000,65.2,5.0
TRX-PRD-000229,2026-05-14,Shift B,MC-011,OP-022,MAT-005,1459,1216,243,1700,83.7,6.81
TRX-PRD-000230,2026-03-28,Shift A,MC-002,,MAT-011,2322,2280,42,800,-28.4,5.37
TRX-PRD-000231,2026-04-12,Shift C,MC-007,OP-018,MAT-007,865,841,24,1000,62.6,5.47
TRX-PRD-000232,2026-05-05,Shift A,MC-013,OP-060,MAT-003,780,768,12,800,81.5,4.66
TRX-PRD-000233,2026-05-11,Shift C,MC-011,OP-036,MAT-008,1389,1376,13,1000,74.4,4.56
TRX-PRD-000234,2026-04-12,Shift B,MC-007,OP-048,MAT-003,1514,1200,314,1500,76.1,4.99
TRX-PRD-000235,2026-06-12,Shift B,MC-010,OP-002,MAT-011,1735,1636,99,1300,82.3,6.04
TRX-PRD-000236,2026-05-17,Shift A,MC-001,OP-042,MAT-004,2546,2505,41,1000,93.8,7.91
TRX-PRD-000237,2026-05-13,Shift C,MC-003,OP-049,MAT-009,1207,1191,16,1800,88.5,7.08
TRX-PRD-000238,2026-03-30,Shift B,MC-001,OP-034,MAT-001,2130,1483,647,1500,65.1,6.0
TRX-PRD-000239,2026-05-20,Shift B,MC-007,OP-011,MAT-010,1125,781,344,1500,73.7,4.32
TRX-PRD-000240,2026-04-23,Shift C,MC-003,OP-029,MAT-011,770,763,7,1500,75.6,6.92
